employee_id,emp_name,call_date,working_hours,work_efficiency,total_break_taken_minutes,calls_attended,active_with_customer_minutes,lunch_minutes,normal_break_minutes,feedback_score,training_minutes,meeting_minutes,unwanted_break_minutes,other_work_minutes
E106,Sneha,22-03-2024,6.34,82.96,38,40,239,23,12,4.5,33,4,4,64
E103,Rohit,10-03-2024,6.45,99.41,50,88,176,26,16,4.51,24,40,5,72
E110,Riya,18-01-2024,6.68,72.03,54,64,159,33,8,4.43,3,12,18,65
E107,Karan,23-03-2024,6.75,85.56,76,49,247,26,19,4.34,51,0,3,64
E104,Vikram,22-01-2024,8.55,75.38,80,157,292,27,13,3.95,54,24,6,34
E106,Karan,06-02-2024,7.68,99.12,50,119,154,20,11,4.28,25,46,3,35
E109,Rahul,25-02-2024,7.57,73.4,72,55,378,23,14,3.08,15,3,10,58
E102,Rahul,28-02-2024,6.34,82.11,51,97,124,31,17,4.24,9,35,11,72
E106,Riya,03-01-2024,8.58,92.14,85,111,337,22,16,4.56,44,51,13,54
E110,Arjun,28-01-2024,8.17,91.14,78,68,130,32,11,4,1,9,12,48
E110,Sneha,14-03-2024,6.2,82.68,29,142,236,39,19,3.72,34,27,9,74
E107,Riya,04-02-2024,8.12,80.4,21,131,303,25,17,3.55,18,56,17,78
E104,Pooja,01-03-2024,7.63,81.93,85,45,235,30,17,4.29,5,5,15,65
E103,Neha,23-02-2024,6.25,77.93,79,55,281,23,12,4.39,18,26,4,18
E107,Sneha,03-03-2024,7.37,76.16,36,59,186,39,16,4.74,58,55,7,79
E107,Simran,19-03-2024,7.45,84.49,35,119,319,35,10,3.68,52,11,13,37
E102,Rohit,07-01-2024,6.5,78.06,35,110,150,26,12,4.54,51,51,4,54
E105,Sneha,16-03-2024,8.84,78.62,65,144,194,30,7,4.12,50,47,7,35
E104,Pooja,18-02-2024,8.55,89.7,58,117,356,20,14,4.77,7,2,5,37
E101,Pooja,25-03-2024,8.01,99.06,50,82,185,26,14,4.06,13,45,15,49
E107,Amit,31-01-2024,7.39,88.11,20,65,189,31,18,4.04,9,32,3,24
E111,Riya,27-02-2024,7.24,72.31,30,129,416,26,5,4.16,2,9,11,15
